http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/65B4E235BBA70BE485257FF70055A088?OpenDocument&lang=fra&,LANDAUER-INLIGHT,4500351560,2016-06-30,"1171 Fournitures médicales, instruments, appareils",2016-06-30 to 2016-07-29,TN - Contrat à source unique,Non,PO - Commande d’achat,Aucun,21 450.00 $,0.00 $,21 450.00 $,Équipement et approvisionnements de laboratoireRadioprotection
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/AA89EA5A1B1EA43085257FF700559FD9?OpenDocument&lang=fra&,UNIVERSITY OF CINCINNATI,4500351479,2016-06-29,0431 Experts-conseils scientifiques ,2016-06-29 to 2016-07-20,TC - Contrat à source concurrentielle,Non,"942 - Cette commande subséquente est un contrat en vertu d’un arrangement administratif, connu comme une offre à commandes, qui peut être initié par « SPAC » ou n’importe quel autre ministère",Aucun,14 250.02 $,0.00 $,14 250.02 $,Études sur la médecine et la santéRisques pour la santé liés à l’environne
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/EFEB4650DBFB33FB85257FF70055B29B?OpenDocument&lang=fra&,COMPUTER MEDIA GROUP,H108562621,2016-06-28,1231 Mobilier et ameublement du bureau incluant des pièces,2016-06-28 to 2016-08-18,TN - Contrat à source unique,Non,9200 - Document contractuel distribué par Services publics et Approvisionnement Canada (PSPC) au nom de Santé Canada,Aucun,53 655.30 $,0.00 $,53 655.30 $,Meubles de bureauServices internes
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/31452448A4DF399585257FF700559F32?OpenDocument&lang=fra&,D2K COMMUNICATIONS,4500351378,2016-06-27,"1143 Matière imprimée, incluant livres, journaux, images, textes, manuscrits et formules",2016-06-27 to 2016-06-30,TC - Contrat à source concurrentielle,Non,PO - Commande d’achat,Aucun,13 618.76 $,0.00 $,13 618.76 $,Services d'imprimerie et de reliureServices internes
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/BAB5343712E9E61385257FF700559EA3?OpenDocument&lang=fra&,GRAND AND TOY,4500351324,2016-06-24,1231 Mobilier et ameublement du bureau incluant des pièces,2016-06-29 to 2016-08-11,TC - Contrat à source concurrentielle,Non,PO - Commande d’achat,Aucun,22 990.72 $,0.00 $,22 990.72 $,Meubles de bureauServices internes
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/3157793D65FF374A85257FF700559DFD?OpenDocument&lang=fra&,LOUISE M. WINN (DR.),4500351307,2016-06-24,0431 Experts-conseils scientifiques ,2016-06-30 to 2016-09-30,TN - Contrat à source unique,Non,PS1 - Contrat à long formulaire,Aucun,16 385.00 $,0.00 $,16 385.00 $,Autres études et analysesProduits de santé
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/416BA9F2A5DB8C3E85257FF700559CB3?OpenDocument&lang=fra&,CHRISTOPHER HEBBERN,4500351265,2016-06-23,0431 Experts-conseils scientifiques ,2016-06-29 to 2016-12-14,TN - Contrat à source unique,Non,PS1 - Contrat à long formulaire,Aucun,24 973.00 $,0.00 $,24 973.00 $,Analyses de la qualité de l'airRisques pour la santé liés à l’environne
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/E9AFA3A901BD57EF85257FF700559B7B?OpenDocument&lang=fra&,FAWCETT FILE & STORAGE SYSTEMS INC.,4500351253,2016-06-23,0210 Transports d'objets non spécifiés ailleurs ,2016-06-27 to 2016-08-05,TC - Contrat à source concurrentielle,Non,PS1 - Contrat à long formulaire,Aucun,18 420.14 $,0.00 $,18 420.14 $,"Autres services de transports, de voyages, et de déménagementServices internes"
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/C6B0A647D19B96A785257FF700559C20?OpenDocument&lang=fra&,IMPRIMERIE PLANTAGENET PRINTING,4500351255,2016-06-23,0352 Services de relations publiques,2016-06-27 to 2016-07-29,TN - Contrat à source unique,Non,PO - Commande d’achat,Aucun,10 827.94 $,0.00 $,10 827.94 $,Livres et brochures Soins de santé primaires aux membres des Premières nations et aux Inuits
http://www.contracts-contrats.hc-sc.gc.ca/cfob/mssid/contractdisc.nsf/WEBbypurposeF/5DB3116AD702D2EB85257FF700559D5A?OpenDocument&lang=fra&,NEWS CANADA INC.,4500351270,2016-06-23,0352 Services de relations publiques,2016-06-23 to 2017-03-31,TC - Contrat à source concurrentielle,Non,"942 - Cette commande subséquente est un contrat en vertu d’un arrangement administratif, connu comme une offre à commandes, qui peut être initié par « SPAC » ou n’importe quel autre ministère",Aucun,34 894.40 $,0.00 $,34 894.40 $,"Services de relations publiques (y compris la rédaction, la planification et la gestion d'événements, les relations avec les médias, les analyses de radio et de télévision ainsi que la presse) Risques pour la santé liés à l’environne"
